Pais,Porcentaje_de_poblacin_de_entre_25_y_34_con_educacion_superior,Parados
Belgium,45.7,19.3
Bulgaria,33.4,12.9
Czech Republic,33.8,7.9
Denmark,46.2,11.0
Germany,31.3,6.8
Estonia,43.1,12.1
Ireland,53.5,14.5
Greece,42.5,43.6
Spain,42.6,38.6
France,44.3,22.3
Croatia,32.7,27.0
Italy,26.9,37.8
Cyprus,57.0,24.7
Latvia,41.6,17.0
Lithuania,55.6,13.3
Luxembourg,51.2,15.3
Hungary,30.2,10.7
Malta,33.5,10.4
Netherlands,46.6,8.9
Austria,40.3,9.8
Poland,43.6,14.8
Portugal,34.0,23.8
Romania,25.6,18.3
Slovenia,44.5,11.2
Slovakia,35.1,18.9
Finland,40.3,20.1
Sweden,47.4,17.8
United Kingdom,47.3,12.1
Iceland,47.6,8.2
Norway,48.3,10.3
Turkey,30.5,20.7
